BOOK,X,Y,FACET,TEXT
2500-2900 Felucca,2500,100,fel,"2500, 100"
2500-2900 Felucca,2500,200,fel,"2500, 200"
2500-2900 Felucca,2523,298,fel,"2500, 300"
2500-2900 Felucca,2500,800,fel,"2500, 800"
2500-2900 Felucca,2500,922,fel,"2500, 900"
2500-2900 Felucca,2500,1000,fel,"2500, 1000"
2500-2900 Felucca,2500,1100,fel,"2500, 1100"
2500-2900 Felucca,2500,1199,fel,"2500, 1200"
2500-2900 Felucca,2600,100,fel,"2600, 100"
2500-2900 Felucca,2600,202,fel,"2600, 200"
2500-2900 Felucca,2600,300,fel,"2600, 300"
2500-2900 Felucca,2600,421,fel,"2600, 400"
2500-2900 Felucca,2600,600,fel,"2600, 600"
2500-2900 Felucca,2600,800,fel,"2600, 800"
2500-2900 Felucca,2600,908,fel,"2600, 900"
2500-2900 Felucca,2600,1000,fel,"2600, 1000"
2500-2900 Felucca,2600,1100,fel,"2600, 1100"
2500-2900 Felucca,2600,1200,fel,"2600, 1200"
2500-2900 Felucca,2693,100,fel,"2700, 100"
2500-2900 Felucca,2649,203,fel,"2700, 200"
2500-2900 Felucca,2688,300,fel,"2700, 300"
2500-2900 Felucca,2700,400,fel,"2700, 400"
2500-2900 Felucca,2700,500,fel,"2700, 500"
2500-2900 Felucca,2700,589,fel,"2700, 600"
2500-2900 Felucca,2700,700,fel,"2700, 700"
2500-2900 Felucca,2700,800,fel,"2700, 800"
2500-2900 Felucca,2700,899,fel,"2700, 900"
2500-2900 Felucca,2700,1000,fel,"2700, 1000"
2500-2900 Felucca,2700,1100,fel,"2700, 1100"
2500-2900 Felucca,2829,100,fel,"2800, 100"
2500-2900 Felucca,2843,200,fel,"2800, 200"
2500-2900 Felucca,2800,300,fel,"2800, 300"
2500-2900 Felucca,2800,400,fel,"2800, 400"
2500-2900 Felucca,2800,500,fel,"2800, 500"
2500-2900 Felucca,2800,602,fel,"2800, 600"
2500-2900 Felucca,2800,700,fel,"2800, 700"
2500-2900 Felucca,2800,800,fel,"2800, 800"
2500-2900 Felucca,2800,899,fel,"2800, 900"
